index_code,index_name,index_family,region,currency,date,index_value,source,frequency,series_id
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-06-01,274.14,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-07-01,275.184,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-08-01,282.317,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-09-01,282.714,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-10-01,282.777,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-11-01,283.298,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2022-12-01,283.37,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-01-01,293.057,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-02-01,294.047,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-03-01,294.9,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-04-01,295.79,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-05-01,295.959,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-06-01,296.072,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-07-01,300.789,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-08-01,300.774,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-09-01,301.307,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-10-01,301.308,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-11-01,304.092,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2023-12-01,304.493,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-01-01,306.102,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-02-01,306.62,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-03-01,306.279,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-04-01,306.901,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-05-01,307.083,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-06-01,307.27,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-07-01,307.808,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-08-01,307.627,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-09-01,307.144,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-10-01,307.294,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-11-01,307.945,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2024-12-01,307.7,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-01-01,307.768,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-02-01,308.355,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-03-01,308.74,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-04-01,311.284,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-05-01,313.391,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-06-01,316.401,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-07-01,318.274,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-08-01,319.667,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-09-01,320.87,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-10-01,322.397,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-11-01,322.398,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2025-12-01,323.988,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2026-01-01,322.601,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2026-02-01,323.487,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2026-03-01,323.487,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2026-04-01,323.759,BLS Public Data API v2,monthly,WPU112
EQUIPMENT_US_CONSTR_MACH,PPI Construction machinery & equipment,equipment,US National Average,USD,2026-05-01,324.499,BLS Public Data API v2,monthly,WPU112
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-01-01,129.8,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-02-01,130.0,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-03-01,130.2,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-04-01,131.8,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-05-01,132.5,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-06-01,133.0,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-07-01,135.098,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-08-01,135.809,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-09-01,136.363,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-10-01,142.215,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-11-01,142.645,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2021-12-01,142.568,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-01-01,146.508,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-02-01,147.209,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-03-01,148.227,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-04-01,153.034,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-05-01,153.784,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-06-01,154.515,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-07-01,160.649,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-08-01,160.853,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-09-01,161.302,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-10-01,165.435,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-11-01,165.506,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2022-12-01,165.484,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-01-01,168.44,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-02-01,168.54,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-03-01,168.856,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-04-01,168.449,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-05-01,168.673,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-06-01,168.65,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-07-01,166.901,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-08-01,166.978,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-09-01,167.044,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-10-01,166.728,BLS Public Data API v2,monthly,WPUFD432
GENERAL_US_CONSTRUCTION,PPI Final demand construction,general_construction,US National Average,USD,2023-11-01,166.586,BLS Public Data API v2,monthly,WPUFD432
